41319; 580.31; 573.19; 580.12
41331; 573.94; 577.69; 578.25
41339; 588.00; 578.81; 578.25
41348; 580.69; 576.19; 579.19
41360; 582.94; 584.62; 578.06
41370; 582.56; 576.38; 584.44
41379; 582.38; 579.38; 576.19
41388; 586.31; 584.62; 578.25
41397; 580.50; 580.50; 580.88
41412; 580.88; 577.88; 579.56
41428; 574.69; 577.50; 582.75
41436; 576.56; 575.62; 584.44
41445; 581.62; 581.25; 576.75
41454; 584.44; 584.81; 578.25
41463; 582.94; 578.81; 579.00
41472; 581.62; 578.44; 578.62
41481; 587.25; 576.38; 578.81
41490; 581.81; 577.31; 578.44
41499; 581.44; 578.62; 578.81
41508; 581.06; 579.00; 578.44
41518; 579.38; 581.44; 578.81
41526; 586.88; 577.12; 582.38
41535; 580.31; 582.94; 578.44
41544; 586.12; 578.44; 578.44
41554; 581.06; 582.56; 578.81
41562; 587.81; 578.44; 576.19
41571; 579.56; 582.94; 580.31
41580; 582.56; 579.00; 578.44
41589; 580.31; 577.88; 578.06
41599; 580.50; 577.12; 578.44
41610; 582.00; 579.56; 578.06
41619; 579.00; 580.31; 576.19
41627; 575.44; 579.00; 584.44
41636; 582.38; 584.62; 582.56
41645; 580.12; 584.06; 576.19
41654; 580.31; 578.81; 578.81
41663; 578.62; 578.25; 578.25
41672; 581.81; 578.62; 578.81
41681; 580.12; 577.88; 576.38
41690; 578.81; 578.81; 578.44
41699; 582.94; 577.69; 578.06
41708; 578.81; 577.31; 578.06
41718; 580.69; 582.56; 588.00
41726; 578.25; 574.50; 585.38
41735; 581.62; 578.44; 580.50
41744; 578.62; 578.44; 584.06
41753; 581.06; 578.44; 582.38
41762; 580.88; 578.81; 578.44
41771; 578.44; 580.50; 578.62
41780; 580.31; 577.88; 576.00
41789; 580.31; 576.00; 578.25
41798; 585.94; 577.69; 576.00
41807; 579.94; 576.00; 577.69
41817; 582.38; 584.44; 584.44
41827; 585.19; 577.50; 578.25
41835; 578.81; 579.00; 576.56
41844; 580.50; 578.62; 579.19
41853; 585.56; 578.25; 578.06
41862; 578.62; 578.62; 578.62
41871; 580.50; 576.56; 580.50
41880; 579.94; 577.50; 578.62
41889; 582.00; 577.50; 580.69
41898; 580.12; 578.62; 576.38
41907; 585.75; 576.56; 576.00
41916; 580.50; 580.50; 584.44
41926; 577.31; 581.62; 578.44
41934; 587.44; 578.06; 579.00
41943; 579.19; 580.50; 578.25
41952; 579.00; 578.62; 578.81
41961; 580.50; 577.69; 576.19
41970; 578.81; 584.44; 576.56
41979; 581.62; 578.81; 578.81
41988; 580.12; 583.69; 584.44
41997; 579.38; 578.25; 576.00
42008; 584.25; 577.88; 577.31
42017; 580.50; 577.12; 579.19
42026; 582.75; 578.62; 580.50
42034; 582.00; 581.06; 579.19
42043; 584.44; 583.31; 578.62
42052; 579.00; 587.06; 584.44
42062; 579.19; 578.81; 576.19
42070; 585.19; 578.25; 582.38
42079; 579.00; 584.62; 584.44
42088; 580.88; 575.81; 577.69
42097; 578.25; 577.88; 582.38
42106; 579.75; 577.12; 578.81
42115; 578.62; 578.44; 578.81
42125; 581.44; 578.06; 578.62
42134; 581.06; 578.81; 584.44
42142; 582.94; 576.94; 578.25
42152; 583.50; 580.12; 578.44
